"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"anime","","2023-04-18","23:39:29","23:59:59","0:20:30","+09:00","",""
"anime","","2023-04-19","0:00:00","0:03:15","0:03:15","+09:00","",""
"anime","","2023-04-19","0:05:07","1:13:20","1:08:13","+09:00","",""
"anime","","2023-04-19","16:30:02","17:14:31","0:44:29","+09:00","",""
"Read","","2023-04-19","19:51:01","20:08:38","0:17:37","+09:00","",""
"Program","","2023-04-19","21:04:58","23:59:59","2:55:01","+09:00","",""
"Program","","2023-04-20","0:00:00","0:33:20","0:33:20","+09:00","",""
"Program","","2023-04-20","20:40:53","21:25:40","0:44:47","+09:00","",""
"anime","","2023-04-20","21:26:57","23:00:30","1:33:33","+09:00","",""
"anime","","2023-04-21","17:39:04","17:57:53","0:18:49","+09:00","",""
"anime","","2023-04-21","18:16:54","19:14:36","0:57:42","+09:00","",""
"Program","","2023-04-21","19:30:23","19:48:37","0:18:14","+09:00","",""
"Program","","2023-04-21","20:20:43","20:20:44","0:00:01","+09:00","",""
"Program","","2023-04-21","20:45:59","21:33:59","0:48:00","+09:00","",""
"Program","","2023-04-21","21:34:10","21:50:33","0:16:23","+09:00","",""
"Program","","2023-04-22","10:27:26","13:08:03","2:40:37","+09:00","",""
"Program","","2023-04-22","13:36:18","15:04:44","1:28:26","+09:00","",""
"Read","","2023-04-22","16:04:32","17:30:12","1:25:40","+09:00","",""
"game","","2023-04-22","17:30:25","18:02:22","0:31:57","+09:00","",""
"Program","","2023-04-22","18:43:22","19:34:19","0:50:57","+09:00","",""
"Program","","2023-04-22","20:23:36","23:59:03","3:35:27","+09:00","",""
"anime","","2023-04-23","11:47:45","13:10:16","1:22:31","+09:00","",""
"anime","","2023-04-23","13:11:47","13:31:51","0:20:04","+09:00","",""
"Program","","2023-04-23","14:20:20","15:46:01","1:25:41","+09:00","",""
"Program","","2023-04-23","17:14:35","19:20:26","2:05:51","+09:00","",""
"Program","","2023-04-23","20:05:20","21:46:29","1:41:09","+09:00","",""
"Program","","2023-04-23","22:00:26","22:00:27","0:00:01","+09:00","",""
"game","","2023-04-23","22:28:32","23:01:36","0:33:04","+09:00","",""
"Read","","2023-04-23","23:57:08","23:59:59","0:02:51","+09:00","",""
"Read","","2023-04-24","0:00:00","0:23:34","0:23:34","+09:00","",""
"game","","2023-04-24","16:50:38","17:19:38","0:29:00","+09:00","",""
"Program","","2023-04-24","17:23:13","18:46:59","1:23:46","+09:00","",""
"Program","","2023-04-24","20:17:13","20:24:01","0:06:48","+09:00","",""
"Program","","2023-04-24","20:41:21","21:50:37","1:09:16","+09:00","",""
"game","","2023-04-24","22:05:02","23:28:26","1:23:24","+09:00","",""
"game","","2023-04-25","0:24:25","2:09:38","1:45:13","+09:00","",""
"game","","2023-04-25","16:23:42","18:31:54","2:08:12","+09:00","",""
"Program","","2023-04-25","18:55:54","19:05:56","0:10:02","+09:00","",""
"anime","","2023-04-25","19:06:03","19:44:45","0:38:42","+09:00","",""
"anime","","2023-04-25","20:25:18","22:13:54","1:48:36","+09:00","",""
"anime","","2023-04-26","16:28:30","16:50:56","0:22:26","+09:00","",""
"Program","","2023-04-26","17:00:12","17:15:12","0:15:00","+09:00","",""
"Program","","2023-04-26","17:15:22","19:46:42","2:31:20","+09:00","",""
"Program","","2023-04-26","20:35:59","20:52:59","0:17:00","+09:00","",""
"Program","","2023-04-26","21:35:27","23:29:25","1:53:58","+09:00","",""
"Program","","2023-04-26","23:30:27","23:59:27","0:29:00","+09:00","",""
"Program","","2023-04-26","23:59:47","23:59:59","0:00:12","+09:00","",""
"Program","","2023-04-27","0:00:00","0:22:24","0:22:24","+09:00","",""
"game","","2023-04-27","0:26:59","1:09:57","0:42:58","+09:00","",""
"Read","","2023-04-27","8:21:42","8:30:14","0:08:32","+09:00","",""
"Program","","2023-04-27","8:40:22","11:12:22","2:32:00","+09:00","",""
"Program","","2023-04-27","15:30:01","16:20:06","0:50:05","+09:00","",""
"Program","","2023-04-27","17:11:54","19:37:31","2:25:37","+09:00","",""
"Program","","2023-04-27","20:52:30","23:59:59","3:07:29","+09:00","",""
"Program","","2023-04-28","0:00:00","0:21:21","0:21:21","+09:00","",""
"game","","2023-04-28","0:21:59","1:27:26","1:05:27","+09:00","",""
"Program","","2023-04-28","15:15:01","17:29:01","2:14:00","+09:00","",""
"Program","","2023-04-28","17:29:18","18:30:06","1:00:48","+09:00","",""
"anime","","2023-04-28","18:54:28","19:22:54","0:28:26","+09:00","",""
"Program","","2023-04-28","20:05:47","20:14:42","0:08:55","+09:00","",""
"Program","","2023-04-29","10:02:14","11:51:22","1:49:08","+09:00","",""
"Program","","2023-04-29","12:09:26","12:39:51","0:30:25","+09:00","",""
"Program","","2023-04-29","13:16:52","14:32:14","1:15:22","+09:00","",""
"Program","","2023-04-29","14:40:55","16:48:10","2:07:15","+09:00","",""
"game","","2023-04-29","16:49:30","17:27:11","0:37:41","+09:00","",""
"Read","","2023-04-29","17:40:59","18:29:03","0:48:04","+09:00","",""
"Program","","2023-04-29","22:13:48","23:10:24","0:56:36","+09:00","",""
"Program","","2023-04-29","23:52:34","23:59:59","0:07:25","+09:00","",""
"Program","","2023-04-30","0:00:00","1:01:01","1:01:01","+09:00","",""
"Program","","2023-04-30","1:30:11","1:48:11","0:18:00","+09:00","",""
"Program","","2023-04-30","9:27:22","10:16:45","0:49:23","+09:00","",""
"Program","","2023-04-30","11:26:51","12:06:29","0:39:38","+09:00","",""
"game","","2023-04-30","12:06:29","12:06:32","0:00:03","+09:00","",""
"Program","","2023-04-30","12:06:34","12:36:28","0:29:54","+09:00","",""
"Program","","2023-04-30","13:00:51","13:31:24","0:30:33","+09:00","",""
"game","","2023-04-30","13:33:06","14:10:44","0:37:38","+09:00","",""
"Program","","2023-04-30","15:55:38","16:44:38","0:49:00","+09:00","",""
"Program","","2023-04-30","16:44:44","17:10:06","0:25:22","+09:00","",""
"Program","","2023-04-30","17:10:11","17:45:59","0:35:48","+09:00","",""
"anime","","2023-04-30","18:51:39","19:04:57","0:13:18","+09:00","",""
"anime","","2023-04-30","19:41:37","21:55:37","2:14:00","+09:00","",""
"Study","","2023-04-30","22:10:42","23:59:59","1:49:17","+09:00","",""
"Study","","2023-05-01","0:00:00","0:00:00","0:00:00","+09:00","",""
"Study","","2023-05-01","18:31:35","18:55:37","0:24:02","+09:00","",""
"Study","","2023-05-01","19:10:38","19:20:15","0:09:37","+09:00","",""
"Study","","2023-05-01","20:03:37","20:59:22","0:55:45","+09:00","",""
"Study","","2023-05-01","21:27:46","22:10:57","0:43:11","+09:00","",""
"game","","2023-05-01","22:20:20","23:01:20","0:41:00","+09:00","",""
"game","","2023-05-01","23:01:43","23:59:59","0:58:16","+09:00","",""
"game","","2023-05-02","0:00:00","2:19:22","2:19:22","+09:00","",""
"anime","","2023-05-02","11:00:53","11:41:36","0:40:43","+09:00","",""
"Study","","2023-05-02","11:55:58","12:07:48","0:11:50","+09:00","",""
"Study","","2023-05-02","15:06:53","15:35:27","0:28:34","+09:00","",""
"Study","","2023-05-02","15:45:17","18:48:25","3:03:08","+09:00","",""
"game","","2023-05-02","20:18:12","20:50:36","0:32:24","+09:00","",""
"anime","","2023-05-02","20:54:03","21:38:51","0:44:48","+09:00","",""
"game","","2023-05-03","0:05:30","4:45:30","4:40:00","+09:00","",""
"Study","","2023-05-03","10:26:01","10:48:46","0:22:45","+09:00","",""
"Study","","2023-05-03","10:54:35","12:08:53","1:14:18","+09:00","",""
"Study","","2023-05-03","15:28:19","16:44:35","1:16:16","+09:00","",""
"anime","","2023-05-03","17:18:03","17:35:38","0:17:35","+09:00","",""
"anime","","2023-05-03","17:36:48","17:46:14","0:09:26","+09:00","",""
"Study","","2023-05-03","18:35:43","19:16:44","0:41:01","+09:00","",""
"Study","","2023-05-03","21:12:04","21:12:06","0:00:02","+09:00","",""
"Study","","2023-05-03","22:18:33","23:44:57","1:26:24","+09:00","",""
"Study","","2023-05-04","11:57:55","12:33:44","0:35:49","+09:00","",""
"Study","","2023-05-04","15:54:24","15:54:26","0:00:02","+09:00","",""
"Study","","2023-05-04","16:10:45","16:15:52","0:05:07","+09:00","",""
"Study","","2023-05-04","16:20:53","16:54:06","0:33:13","+09:00","",""
"Study","","2023-05-04","16:59:28","17:16:37","0:17:09","+09:00","",""
"Study","","2023-05-04","18:57:39","19:29:41","0:32:02","+09:00","",""
"anime","","2023-05-04","23:19:12","23:43:07","0:23:55","+09:00","",""
"game","","2023-05-04","23:43:39","23:59:59","0:16:20","+09:00","",""
"game","","2023-05-05","0:00:00","0:40:57","0:40:57","+09:00","",""
"game","","2023-05-05","1:41:15","1:41:16","0:00:01","+09:00","",""
"game","","2023-05-05","18:13:20","18:13:21","0:00:01","+09:00","",""
"Study","","2023-05-05","19:24:07","19:59:17","0:35:10","+09:00","",""
"Study","","2023-05-05","21:25:47","22:05:18","0:39:31","+09:00","",""
"Study","","2023-05-05","22:19:40","22:51:00","0:31:20","+09:00","",""
"game","","2023-05-06","0:00:52","2:30:52","2:30:00","+09:00","",""
"Study","","2023-05-06","15:28:22","16:00:53","0:32:31","+09:00","",""
"Study","","2023-05-06","18:40:43","18:54:11","0:13:28","+09:00","",""
"anime","","2023-05-06","19:41:56","20:05:43","0:23:47","+09:00","",""
"anime","","2023-05-06","20:49:02","20:49:03","0:00:01","+09:00","",""
"Study","","2023-05-06","20:49:07","22:02:18","1:13:11","+09:00","",""
"Read","","2023-05-06","22:05:29","23:05:29","1:00:00","+09:00","",""
"Read","","2023-05-06","23:05:44","23:30:31","0:24:47","+09:00","",""
"Study","","2023-05-06","23:37:50","23:53:34","0:15:44","+09:00","",""
"Read","","2023-05-06","23:54:18","23:59:59","0:05:41","+09:00","",""
"Read","","2023-05-07","0:00:00","1:52:03","1:52:03","+09:00","",""
"Study","","2023-05-07","11:52:56","13:00:18","1:07:22","+09:00","",""
"Study","","2023-05-07","14:01:57","14:44:09","0:42:12","+09:00","",""
"anime","","2023-05-07","15:09:59","15:32:25","0:22:26","+09:00","",""
"Read","","2023-05-07","15:32:31","16:05:26","0:32:55","+09:00","",""
"Study","","2023-05-07","16:32:03","17:49:35","1:17:32","+09:00","",""
"Study","","2023-05-07","18:19:17","19:07:13","0:47:56","+09:00","",""
"Study","","2023-05-07","20:33:18","21:35:38","1:02:20","+09:00","",""
"game","","2023-05-07","21:41:23","22:04:28","0:23:05","+09:00","",""
"Read","","2023-05-07","22:08:11","22:30:28","0:22:17","+09:00","",""
"game","","2023-05-08","0:00:14","2:15:14","2:15:00","+09:00","",""
"game","","2023-05-08","16:24:44","16:52:21","0:27:37","+09:00","",""
"Read","","2023-05-08","16:52:25","17:14:12","0:21:47","+09:00","",""
"Study","","2023-05-08","19:58:04","20:54:28","0:56:24","+09:00","",""
"Read","","2023-05-08","21:03:59","21:08:39","0:04:40","+09:00","",""
"Study","","2023-05-08","21:08:39","21:08:41","0:00:02","+09:00","",""
"Read","","2023-05-08","21:08:42","21:33:53","0:25:11","+09:00","",""
"Read","","2023-05-08","21:34:34","22:04:00","0:29:26","+09:00","",""
"game","","2023-05-08","22:17:57","23:59:59","1:42:02","+09:00","",""
"game","","2023-05-09","0:00:00","0:28:19","0:28:19","+09:00","",""
"Read","","2023-05-09","0:30:08","2:10:08","1:40:00","+09:00","",""
"anime","","2023-05-09","15:25:44","16:09:44","0:44:00","+09:00","",""
"Study","","2023-05-09","21:58:05","23:42:59","1:44:54","+09:00","",""
"Study","","2023-05-10","0:05:50","0:33:11","0:27:21","+09:00","",""
"anime","","2023-05-10","0:33:14","0:57:18","0:24:04","+09:00","",""
"Study","","2023-05-10","1:01:23","2:26:39","1:25:16","+09:00","",""
"Study","","2023-05-10","2:44:45","3:14:27","0:29:42","+09:00","",""
"Study","","2023-05-10","18:31:58","18:41:58","0:10:00","+09:00","",""
"Study","","2023-05-10","19:30:03","20:09:53","0:39:50","+09:00","",""
"Study","","2023-05-10","20:42:35","22:58:37","2:16:02","+09:00","",""
"anime","","2023-05-10","23:06:17","23:59:59","0:53:42","+09:00","",""
"anime","","2023-05-11","0:00:00","0:22:45","0:22:45","+09:00","",""
"Study","","2023-05-11","20:17:10","20:17:11","0:00:01","+09:00","",""
"Study","","2023-05-11","21:27:09","21:27:55","0:00:46","+09:00","",""
"Study","","2023-05-11","21:41:49","22:45:33","1:03:44","+09:00","",""
"Study","","2023-05-11","23:48:11","23:59:59","0:11:48","+09:00","",""
"Study","","2023-05-12","0:00:00","0:51:18","0:51:18","+09:00","",""
"Study","","2023-05-12","0:51:26","1:36:32","0:45:06","+09:00","",""
"Read","","2023-05-12","1:41:40","2:01:45","0:20:05","+09:00","",""
"Study","","2023-05-12","19:39:33","19:41:15","0:01:42","+09:00","",""
"Read","","2023-05-12","20:00:27","20:09:13","0:08:46","+09:00","",""
"Study","","2023-05-12","20:50:18","23:10:56","2:20:38","+09:00","",""
"Study","","2023-05-12","23:11:34","23:59:59","0:48:25","+09:00","",""
"Study","","2023-05-13","0:00:00","0:42:50","0:42:50","+09:00","",""
"anime","","2023-05-13","1:00:54","1:23:32","0:22:38","+09:00","",""
"Read","","2023-05-13","1:24:49","3:50:45","2:25:56","+09:00","",""
"Study","","2023-05-13","12:26:51","12:46:05","0:19:14","+09:00","",""
"Study","","2023-05-13","13:40:21","14:21:53","0:41:32","+09:00","",""
"Study","","2023-05-13","15:52:46","16:31:37","0:38:51","+09:00","",""
"Study","","2023-05-13","21:53:04","23:54:42","2:01:38","+09:00","",""
"anime","","2023-05-14","2:09:42","2:49:08","0:39:26","+09:00","",""
"Study","","2023-05-14","13:42:49","16:55:09","3:12:20","+09:00","",""
"anime","","2023-05-14","17:07:35","17:52:35","0:45:00","+09:00","",""
"anime","","2023-05-14","17:57:16","18:26:33","0:29:17","+09:00","",""
"game","","2023-05-14","18:27:35","18:43:11","0:15:36","+09:00","",""
"game","","2023-05-14","19:56:12","19:56:13","0:00:01","+09:00","",""
"Study","","2023-05-14","19:58:27","23:59:59","4:01:32","+09:00","",""
"Study","","2023-05-15","0:00:00","0:16:04","0:16:04","+09:00","",""
"Study","","2023-05-15","0:28:48","0:57:09","0:28:21","+09:00","",""
"anime","","2023-05-15","12:14:40","12:29:54","0:15:14","+09:00","",""
"Study","","2023-05-15","18:40:09","20:08:54","1:28:45","+09:00","",""
"Study","","2023-05-15","21:24:59","21:49:42","0:24:43","+09:00","",""
"Study","","2023-05-15","21:58:21","23:21:40","1:23:19","+09:00","",""
"Study","","2023-05-16","10:09:53","10:18:01","0:08:08","+09:00","",""
"anime","","2023-05-16","10:22:04","10:42:10","0:20:06","+09:00","",""
"Study","","2023-05-16","10:42:11","10:49:47","0:07:36","+09:00","",""
"anime","","2023-05-16","10:49:49","11:08:58","0:19:09","+09:00","",""
"Study","","2023-05-16","11:10:08","11:19:08","0:09:00","+09:00","",""
"Study","","2023-05-16","11:45:12","11:53:09","0:07:57","+09:00","",""
"Study","","2023-05-16","12:11:07","12:19:31","0:08:24","+09:00","",""
"Study","","2023-05-16","12:54:02","13:07:15","0:13:13","+09:00","",""
"Study","","2023-05-16","13:27:33","13:49:27","0:21:54","+09:00","",""
"Study","","2023-05-16","15:45:26","15:56:26","0:11:00","+09:00","",""
"Study","","2023-05-16","16:25:45","16:45:45","0:20:00","+09:00","",""
"Study","","2023-05-16","17:52:20","18:03:29","0:11:09","+09:00","",""
"Study","","2023-05-16","18:33:31","18:52:45","0:19:14","+09:00","",""
"anime","","2023-05-16","20:29:47","20:51:40","0:21:53","+09:00","",""
"anime","","2023-05-16","20:52:35","20:57:24","0:04:49","+09:00","",""
"anime","","2023-05-16","22:02:17","22:22:05","0:19:48","+09:00","",""
"Study","","2023-05-17","0:14:28","0:55:56","0:41:28","+09:00","",""
"Read","","2023-05-17","0:57:01","1:12:36","0:15:35","+09:00","",""
"anime","","2023-05-17","1:12:39","2:19:13","1:06:34","+09:00","",""
"anime","","2023-05-17","9:53:59","10:19:52","0:25:53","+09:00","",""
"anime","","2023-05-17","10:37:41","11:07:03","0:29:22","+09:00","",""
"anime","","2023-05-17","11:10:33","12:37:08","1:26:35","+09:00","",""
"Study","","2023-05-17","14:52:20","15:10:52","0:18:32","+09:00","",""
"Study","","2023-05-17","22:12:14","23:59:59","1:47:45","+09:00","",""
"Study","","2023-05-18","0:00:00","0:09:23","0:09:23","+09:00","",""
"anime","","2023-05-18","0:10:13","1:53:40","1:43:27","+09:00","",""
"anime","","2023-05-18","11:52:01","12:50:07","0:58:06","+09:00","",""
"Program","","2023-05-18","14:15:00","15:44:33","1:29:33","+09:00","",""
"Program","","2023-05-18","15:49:50","17:10:46","1:20:56","+09:00","",""
"anime","","2023-05-18","17:25:02","18:14:58","0:49:56","+09:00","",""
"Program","","2023-05-18","19:53:15","21:00:18","1:07:03","+09:00","",""
"Program","","2023-05-18","21:11:38","22:21:38","1:10:00","+09:00","",""
"game","","2023-05-18","22:30:23","23:26:58","0:56:35","+09:00","",""
"game","","2023-05-18","23:27:16","23:28:01","0:00:45","+09:00","",""
"anime","","2023-05-18","23:32:05","23:32:20","0:00:15","+09:00","",""
"anime","","2023-05-18","23:35:13","23:59:59","0:24:46","+09:00","",""
"anime","","2023-05-19","0:00:00","0:28:21","0:28:21","+09:00","",""
"Program","","2023-05-19","17:49:48","18:57:20","1:07:32","+09:00","",""
"anime","","2023-05-19","19:17:59","19:39:41","0:21:42","+09:00","",""
"anime","","2023-05-19","19:41:19","20:02:54","0:21:35","+09:00","",""
"Program","","2023-05-19","20:13:14","20:39:48","0:26:34","+09:00","",""
"Program","","2023-05-19","20:42:35","22:09:07","1:26:32","+09:00","",""
"Program","","2023-05-19","22:09:22","22:24:32","0:15:10","+09:00","",""
"game","","2023-05-19","22:34:01","23:28:30","0:54:29","+09:00","",""
"Program","","2023-05-20","11:06:22","11:41:26","0:35:04","+09:00","",""
"Program","","2023-05-20","11:50:29","12:09:26","0:18:57","+09:00","",""
"anime","","2023-05-20","12:10:18","13:13:31","1:03:13","+09:00","",""
"anime","","2023-05-20","14:20:44","14:42:44","0:22:00","+09:00","",""
"anime","","2023-05-20","14:42:57","15:34:26","0:51:29","+09:00","",""
"Program","","2023-05-20","15:41:31","15:51:33","0:10:02","+09:00","",""
"movie","","2023-05-20","21:54:50","23:59:59","2:05:09","+09:00","",""
"movie","","2023-05-21","0:00:00","0:27:17","0:27:17","+09:00","",""
"movie","","2023-05-21","0:27:19","0:52:25","0:25:06","+09:00","",""
"anime","","2023-05-21","0:58:37","1:41:06","0:42:29","+09:00","",""
"anime","","2023-05-21","1:42:03","2:20:00","0:37:57","+09:00","",""
"anime","","2023-05-21","2:45:08","3:38:29","0:53:21","+09:00","",""
"game","","2023-05-21","12:21:20","12:23:31","0:02:11","+09:00","",""
"anime","","2023-05-21","13:12:40","13:35:47","0:23:07","+09:00","",""
"movie","","2023-05-21","14:58:20","14:58:23","0:00:03","+09:00","",""
"movie","","2023-05-21","17:19:03","19:23:21","2:04:18","+09:00","",""
"game","","2023-05-21","23:04:14","23:57:14","0:53:00","+09:00","",""
"anime","","2023-05-22","21:04:39","22:57:39","1:53:00","+09:00","",""
"anime","","2023-05-22","23:26:18","23:59:59","0:33:41","+09:00","",""
"anime","","2023-05-23","0:00:00","1:55:04","1:55:04","+09:00","",""
"anime","","2023-05-23","15:20:31","15:30:31","0:10:00","+09:00","",""
"anime","","2023-05-23","15:30:38","16:51:01","1:20:23","+09:00","",""
"anime","","2023-05-23","17:12:23","17:36:24","0:24:01","+09:00","",""
"anime","","2023-05-23","17:49:23","18:51:18","1:01:55","+09:00","",""
"Program","","2023-05-23","19:45:55","20:08:49","0:22:54","+09:00","",""
"Program","","2023-05-23","20:58:05","22:59:15","2:01:10","+09:00","",""
"Program","","2023-05-23","23:23:58","23:59:59","0:36:01","+09:00","",""
"Program","","2023-05-24","0:00:00","0:08:13","0:08:13","+09:00","",""
"Program","","2023-05-24","0:08:17","0:14:16","0:05:59","+09:00","",""
"anime","","2023-05-24","16:17:34","16:39:49","0:22:15","+09:00","",""
"anime","","2023-05-24","16:40:58","17:10:02","0:29:04","+09:00","",""
"anime","","2023-05-24","17:22:46","17:45:53","0:23:07","+09:00","",""
"game","","2023-05-24","17:55:03","18:14:21","0:19:18","+09:00","",""
"anime","","2023-05-24","18:18:41","18:40:34","0:21:53","+09:00","",""
"anime","","2023-05-24","19:46:38","19:53:58","0:07:20","+09:00","",""
"anime","","2023-05-24","20:17:40","20:26:20","0:08:40","+09:00","",""
"Program","","2023-05-24","20:31:29","21:34:13","1:02:44","+09:00","",""
"Program","","2023-05-24","21:34:14","23:52:55","2:18:41","+09:00","",""
"Program","","2023-05-25","17:30:37","18:45:59","1:15:22","+09:00","",""
"Program","","2023-05-25","18:59:23","19:54:41","0:55:18","+09:00","",""
"Program","","2023-05-25","20:18:07","21:12:27","0:54:20","+09:00","",""
"anime","","2023-05-25","21:25:39","22:03:05","0:37:26","+09:00","",""
"game","","2023-05-25","22:03:51","23:56:30","1:52:39","+09:00","",""
"anime","","2023-05-26","16:24:17","17:27:45","1:03:28","+09:00","",""
"Program","","2023-05-26","17:39:56","18:00:50","0:20:54","+09:00","",""
"game","","2023-05-26","18:05:56","19:28:19","1:22:23","+09:00","",""
"Program","","2023-05-26","21:34:27","23:59:59","2:25:32","+09:00","",""
"Program","","2023-05-27","0:00:00","0:57:50","0:57:50","+09:00","",""
"Program","","2023-05-27","8:40:06","9:04:06","0:24:00","+09:00","",""
"anime","","2023-05-27","9:04:43","9:25:01","0:20:18","+09:00","",""
"anime","","2023-05-27","9:28:51","9:38:57","0:10:06","+09:00","",""
"game","","2023-05-27","10:02:07","10:43:54","0:41:47","+09:00","",""
"Program","","2023-05-27","11:08:08","12:40:50","1:32:42","+09:00","",""
"Program","","2023-05-27","13:37:03","14:04:30","0:27:27","+09:00","",""
"game","","2023-05-27","14:18:20","15:21:10","1:02:50","+09:00","",""
"Program","","2023-05-27","15:21:13","16:51:15","1:30:02","+09:00","",""
"anime","","2023-05-27","19:40:36","20:14:45","0:34:09","+09:00","",""
"game","","2023-05-27","21:47:58","22:16:39","0:28:41","+09:00","",""
"game","","2023-05-27","22:24:26","22:42:34","0:18:08","+09:00","",""
"anime","","2023-05-28","11:55:59","12:35:13","0:39:14","+09:00","",""
"anime","","2023-05-28","12:42:40","13:16:31","0:33:51","+09:00","",""
"game","","2023-05-28","13:20:54","14:20:46","0:59:52","+09:00","",""
"Program","","2023-05-28","16:09:34","16:51:57","0:42:23","+09:00","",""
"anime","","2023-05-28","16:51:59","17:38:55","0:46:56","+09:00","",""
"game","","2023-05-28","19:40:57","20:24:48","0:43:51","+09:00","",""
"Program","","2023-05-28","20:39:34","22:31:57","1:52:23","+09:00","",""
"Program","","2023-05-28","22:55:35","23:59:59","1:04:24","+09:00","",""
"Program","","2023-05-29","0:00:00","0:38:12","0:38:12","+09:00","",""
"anime","","2023-05-29","20:17:08","21:41:12","1:24:04","+09:00","",""
"anime","","2023-05-29","23:24:30","23:59:59","0:35:29","+09:00","",""
"anime","","2023-05-30","0:00:00","0:31:16","0:31:16","+09:00","",""
"anime","","2023-05-30","0:36:41","1:00:02","0:23:21","+09:00","",""
"anime","","2023-05-30","15:25:56","17:10:50","1:44:54","+09:00","",""
"anime","","2023-05-30","17:47:29","18:50:54","1:03:25","+09:00","",""
"anime","","2023-05-30","19:21:49","20:43:56","1:22:07","+09:00","",""
"game","","2023-05-30","20:44:00","22:29:36","1:45:36","+09:00","",""
"game","","2023-05-30","22:36:16","22:43:40","0:07:24","+09:00","",""
"anime","","2023-05-30","23:04:36","23:59:59","0:55:23","+09:00","",""
"anime","","2023-05-31","16:14:09","18:00:54","1:46:45","+09:00","",""
"Program","","2023-05-31","18:12:32","20:15:08","2:02:36","+09:00","",""
"Program","","2023-05-31","20:41:15","23:51:50","3:10:35","+09:00","",""
"anime","","2023-06-01","0:35:06","1:39:52","1:04:46","+09:00","",""
"anime","","2023-06-01","8:24:20","8:50:20","0:26:00","+09:00","",""
"game","","2023-06-01","9:09:13","9:33:37","0:24:24","+09:00","",""
"Program","","2023-06-01","9:33:38","9:53:59","0:20:21","+09:00","",""
"anime","","2023-06-01","9:53:59","9:54:01","0:00:02","+09:00","",""
"Program","","2023-06-01","9:54:01","11:21:00","1:26:59","+09:00","",""
"Read","","2023-06-01","11:21:06","12:27:54","1:06:48","+09:00","",""
"Read","","2023-06-01","13:06:09","14:01:32","0:55:23","+09:00","",""
"anime","","2023-06-01","19:55:14","20:17:50","0:22:36","+09:00","",""
"game","","2023-06-01","21:07:25","21:21:39","0:14:14","+09:00","",""
"anime","","2023-06-01","21:26:58","23:00:59","1:34:01","+09:00","",""
"anime","","2023-06-02","14:00:19","14:32:43","0:32:24","+09:00","",""
"game","","2023-06-02","17:34:43","19:25:40","1:50:57","+09:00","",""
"Program","","2023-06-02","20:25:21","22:57:59","2:32:38","+09:00","",""
"game","","2023-06-02","23:12:37","23:59:59","0:47:22","+09:00","",""
"game","","2023-06-03","0:00:00","1:52:13","1:52:13","+09:00","",""
"anime","","2023-06-03","8:49:16","9:20:44","0:31:28","+09:00","",""
"game","","2023-06-03","9:28:19","10:24:42","0:56:23","+09:00","",""
"Program","","2023-06-03","10:39:34","11:32:05","0:52:31","+09:00","",""
"game","","2023-06-03","12:25:41","13:58:37","1:32:56","+09:00","",""
"anime","","2023-06-03","15:53:57","16:07:00","0:13:03","+09:00","",""
"game","","2023-06-03","16:07:08","19:33:48","3:26:40","+09:00","",""
